1,Akane Iro Ni Somaru Saka,1,2,,,
2,Alison To Lilia,1,2,,,
3,Angelic Layer,1,2,,,
4,Aoi Sekai Chuushin De,1,2,,,
5,Aria The Animation,1,2,,,
6,Aria The Natural,1,2,,,
7,Aria The Origination,1,2,,,
8,Baby Princess,1,2,,,
9,Baka To Test To Shoukanjuu - Matsuri (Ova),1,2,,,
10,Bungaku Shoujo,1,2,,,
11,Chaos;Head,1,2,,,
12,Dance In The Vampire Bound,1,2,,,
13,Denpa Teki Na Kanojo,1,2,,,
14,Ebiten: Kouritsu Ebi Sugawa Koukou Tenmonbu,1,2,,,
15,Ef - A Tale Of Melodies,1,2,,,
16,Ef - A Tale Of Memories,1,2,,,
17,Fractale,1,2,,,
18,Gakuen Alice,1,2,,,
19,Gokujo Mecha Mote Iinco *Check,1,2,,,
20,"Gokujo, Gokurakuin Joshikou Ryou Monogari",1,2,,,
21,Guilty Crown Kiseki Reassortment,1,2,,,
22,Gunslinger Girl,1,2,,,
23,Happy Lesson 2002,1,2,,,
24,Happy Lesson Advance,1,2,,,
25,Hetalia,1,2,,,
26,Higurashi No Naku Koro Ni Kai,1,2,,,
27,Hyakko,1,2,,,
28,Ichiban Ushiro No Daimaou,1,2,,,
29,Ichiban Ushiro No Daimaou Special - Mo Hitotsu Omake No Daimaou,1,2,,,
30,Ikkitousen,1,2,,,
31,Ikkitousen Xx,1,2,,,
32,Inukami!,1,2,,,
33,Itazura Na Kiss,1,2,,,
34,Jigoku Shougo Mitsuganae,1,2,,,
35,Jigoku Shoujo,1,2,,,
36,Jinrui Wa Suitai Shimashita,1,2,,,
37,Kamuki Ni Sora,1,2,,,
38,Kashimashi - Girl Meets Girl,1,2,,,
39,Kimi To Boku,1,2,,,
40,Kimi To Boku 2,1,2,,,
41,Kimiaru,1,2,,,
42,Kimikiss Prue Rouge,1,2,,,
43,Kono Aozora Ni Yakusoku Wo,1,2,,,
44,Kurenai,1,2,,,
45,Kuromajo-San Ga T?ru!!,1,2,,,
46,Kuroshitsuji,1,2,,,
47,Kyou Kara Maou,1,2,,,
48,Kyou No Go No Ni,1,2,,,
49,Love Hina,1,2,,,
50,Love Hina Again,1,2,,,
51,Love Love,1,2,,,
52,Lovedol - Lovely Idol,1,2,,,
53,Magikano,1,2,,,
54,Mahoromantic,1,2,,,
55,Mahoromantic - Automatic Maiden,1,2,,,
56,Mahoromantic 2,1,2,,,
57,Mahoromantic 2 Motto Utsukushii Mono,1,2,,,
58,Mahou Shoujo Madoka Magica,1,2,,,
59,Mokke,1,2,,,
60,Morita-San Wa Mukuchi,1,2,,,
61,Morita-San Wa Mukuchi 2,1,2,,,
62,Mouretsu Pirates,1,2,,,
63,Nabari No Ou,1,2,,,
64,Natsume Yuujin Chou,1,2,,,
65,Natsume Yuujinchou San,1,2,,,
66,Natsume Yuujinchou Zoku,1,2,,,
67,Pandora Hearts,1,2,,,
68,Phi Brain: Kami No Puzzle 2,1,2,,,
69,Queen'S Blade Gyokuza O Tsugu Mono,1,2,,,
70,Queen'S Blade Rurou No Senshi,1,2,,,
71,Rental Magica,1,2,,,
72,Sasameki Koto,1,2,,,
73,Sengoku Collection,1,2,,,
74,Senhime Zesshou Symphogear,1,2,,,
75,Senki Zesshou Symphogear,1,2,,,
76,Shi,1,2,,,
77,Shiki,1,2,,,
78,Shinkyoku Soukai Polyphonica Crimson S,1,2,,,
79,Softenni,1,2,,,
80,Sora No Manimani,1,2,,,
81,Sora O Miageru Shoujo No Hitomi Ni Utsuru Sekai,1,2,,,
82,Suteki Tantei Labyrinth,1,2,,,
83,Sweet Blue Flowers,1,2,,,
84,Taishou Yakyuu Musume,1,2,,,
85,Tantei Opera Milky Holmes,1,2,,,
86,Tantei Opera Milky Holmes Dai 2 Maku,1,2,,,
87,Tears To Tiara,1,2,,,
88,Telepathy Shoujo Ran,1,2,,,
89,Tengen Toppa Gurren Lagann,1,2,,,
90,The Sacred Blacksmith,1,2,,,
91,Tonagura!,1,2,,,
92,Umi Monogatari Anata Ga Ite Kureta Koto,1,2,,,
93,Usagi Drops,1,2,,,
94,Wagaya No Oinari-Sama,1,2,,,
95,Weiss Survive,1,2,,,
96,Weiss Survive R,1,2,,,
97,White Album,1,2,,,
98,Yoku Wakaru Gendai Mahou,1,2,,,
99,Yume-Iro Patissiere,1,2,,,
100,Yume-Iro Patissiere Sp Professional,1,2,,,
101,Yumekui Merry,1,2,,,
102,Yumeria,1,2,,,
103,Boku ha Tomodacchi ga Sukunai NEXT,3,2,0,2013,
104,Chirafuyu II,3,2,0,2013,
105,Kotoura-san,3,2,0,2013,
106,Love Live! School Idol Project,3,2,0,2013,
107,Mangirl!,3,2,0,2013,
108,Maoyuu Maou Yuusha,3,2,0,2013,
109,Mondaiji-tachi ga Isekai Kara Kuru Sou Desu yo?,3,2,0,2013,
110,Ore no Kanojo to Osananajimi ga Shura Sugiru,3,2,0,2013,
111,Sasami-san@Ganbaranai,3,2,0,2013,
112,Tamako Market,3,2,0,2013,
113,Vivid Red Operation,3,3,0,2013,
114,Gj-bu Chutou-bu,2,2,0,2013,
115,Ai Mai Mi,1,2,0,2013,
